"Scenario (0, 0)"
Piece.RAILWAY_T,Rotation.R270,False,1,3
Piece.CROSS_JUNCTION,Rotation.R90,False,3,0
Piece.OVERPASS,Rotation.R90,False,0,3
Piece.HIGHWAY_CORNER,Rotation.R90,False,3,3
Piece.THREE_R_JUNCTION,Rotation.R90,False,5,5
Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,4
Piece.RAILWAY_T,Rotation.I,False,5,4
Piece.RAILWAY_T,Rotation.R180,False,1,0
Piece.CORNER_STATION,Rotation.R180,True,6,1
Piece.RAILWAY_STRAIGHT,Rotation.I,False,2,0
"Scenario (0,)"
Piece.STRAIGHT_STATION,Rotation.R90,False,5,6
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,6,2
Piece.RAILWAY_T,Rotation.R270,False,6,3
Piece.CORNER_JUNCTION,Rotation.R270,False,2,3
Piece.RAILWAY_CORNER,Rotation.R180,False,5,3
Scenario ()
Piece.START_RAILWAY,Rotation.I,False,7,3
Piece.HIGHWAY_T,Rotation.R180,False,0,2
Piece.RAILWAY_CORNER,Rotation.R180,False,1,6
Piece.START_HIGHWAY,Rotation.R180,False,-1,5
Piece.START_HIGHWAY,Rotation.R270,False,3,7
Piece.START_RAILWAY,Rotation.R90,False,1,-1
Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,0
Piece.OVERPASS,Rotation.I,False,1,2
Piece.START_HIGHWAY,Rotation.R180,False,-1,1
Piece.HIGHWAY_T,Rotation.I,False,3,6
Piece.HIGHWAY_CORNER,Rotation.R90,False,2,2
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,4
Piece.RAILWAY_CORNER,Rotation.I,False,5,0
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,1
Piece.START_RAILWAY,Rotation.R90,False,5,-1
Piece.STRAIGHT_STATION,Rotation.I,False,2,6
Piece.START_HIGHWAY,Rotation.I,False,7,1
Piece.START_HIGHWAY,Rotation.I,False,7,5
Piece.HIGHWAY_CORNER,Rotation.I,False,0,5
Piece.STRAIGHT_STATION,Rotation.I,False,6,5
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,3,5
Piece.HIGHWAY_CORNER,Rotation.R90,False,0,1
Piece.START_RAILWAY,Rotation.R180,False,-1,3
Piece.START_RAILWAY,Rotation.R270,False,5,7
Piece.START_HIGHWAY,Rotation.R90,False,3,-1
Piece.START_RAILWAY,Rotation.R270,False,1,7
Piece.OVERPASS,Rotation.R90,False,3,4
Piece.RAILWAY_CORNER,Rotation.R270,False,2,4
